index,HG=F_Close,HG=F_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,HG=F_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,HG=F_Size,COPX_Size,HG=F_Cashflow,COPX_Cashflow,HG=F_MTM,COPX_MTM,Live Trades,HG=F_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2010-01-01,3.388000011444092,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-02,3.388000011444092,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-03,3.388000011444092,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-04,3.388000011444092,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-05,3.3959999084472656,0.002361244680092023,32.22278594970703,0.0,0.002361244680092023,0.002361244680092023,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-06,3.4774999618530273,0.0239988385167611,32.22278594970703,0.0,0.0239988385167611,0.0239988385167611,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-07,3.4114999771118164,-0.018979147509765038,32.22278594970703,0.0,-0.018979147509765038,0.018979147509765038,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-08,3.388000011444092,-0.006888455466917409,32.22278594970703,0.0,-0.006888455466917409,0.006888455466917409,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-09,3.388000011444092,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-10,3.388000011444092,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-11,3.428499937057495,0.011953933139492667,32.22278594970703,0.0,0.011953933139492667,0.011953933139492667,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-12,3.3375000953674316,-0.02654217394215963,32.22278594970703,0.0,-0.02654217394215963,0.02654217394215963,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-13,3.387500047683716,0.0149812586929019,32.22278594970703,0.0,0.0149812586929019,0.0149812586929019,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-14,3.375999927520752,-0.003394869373013698,32.22278594970703,0.0,-0.003394869373013698,0.003394869373013698,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-15,3.3550000190734863,-0.0062203521617630875,32.22278594970703,0.0,-0.0062203521617630875,0.0062203521617630875,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-16,3.3550000190734863,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-17,3.3550000190734863,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-18,3.3550000190734863,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-19,3.437000036239624,0.024441137615487385,32.22278594970703,0.0,0.024441137615487385,0.024441137615487385,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-20,3.3459999561309814,-0.026476601439959446,32.22278594970703,0.0,-0.026476601439959446,0.026476601439959446,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-21,3.2850000858306885,-0.018230684728050006,32.22278594970703,0.0,-0.018230684728050006,0.018230684728050006,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-22,3.3385000228881836,0.01628612957675668,32.22278594970703,0.0,0.01628612957675668,0.01628612957675668,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-23,3.3385000228881836,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-24,3.3385000228881836,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
